id,name,latitude,longitude,timestamp
64,Belgrad,44.828813, 20.441536,2025-06-26 09:00:00
65,Saraevo,43.865163, 18.416096,2025-06-26 09:00:00
66,Podgorica,42.446889, 19.252691,2025-06-26 09:00:00
67,Skopje,42.005096, 21.410225,2025-06-26 09:00:00
68,Athens,37.976831, 23.721869,2025-06-26 09:00:00
69,Valletta,35.909522, 14.497309,2025-06-26 09:00:00
70,Sofia,42.707223, 23.303571,2025-06-26 09:00:00
71,Ankara,39.936230, 32.836350,2025-06-26 09:00:00
72,Kiyv,50.452781, 30.491683,2025-06-26 09:00:00
73,Chisinau,47.047938, 28.818493,2025-06-26 09:00:00
74,Tiraspol',46.840622, 29.605553,2025-06-26 09:00:00
75,Vienna,48.216069, 16.346624,2025-06-26 09:00:00
76,Berlin,52.541051, 13.363503,2025-06-26 09:00:00
77,London,51.515809, -0.143102,2025-06-26 09:00:00
78,Dublin,53.345623, -6.263454,2025-06-26 09:00:00
79,Belfast,54.604409, -5.933219,2025-06-26 09:00:00
80,Edinburgh,55.961359, -3.203278,2025-06-26 09:00:00
81,Cardiff,51.488329, -3.181262,2025-06-26 09:00:00
82,Brussels,50.872572, 4.337084,2025-06-26 09:00:00
83,Bern,46.957572, 7.419276,2025-06-26 09:00:00
84,Prague,50.085905, 14.420254,2025-06-26 09:00:00
85,Bratislava,48.149815, 17.106164,2025-06-26 09:00:00
86,Ljubljana,46.056947, 14.491805,2025-06-26 09:00:00
87,Yerevan,40.189968, 44.504648,2025-06-26 09:00:00
88,Baku,40.375437, 49.832436,2025-06-26 09:00:00
89,Tbilisi,41.708837, 44.790851,2025-06-26 09:00:00
90,Budapest,47.504919, 19.032534,2025-06-26 09:00:00
91,Bucharest,47.504919, 19.032534,2025-06-26 09:00:00
92,Warsaw,52.244743, 20.980920,2025-06-26 09:00:00
93,Copenhagen,55.679387, 12.576443,2025-06-26 09:00:00
94,Stockholm,59.334317, 18.063845,2025-06-26 09:00:00
95,Helsinki,60.170228, 24.949242,2025-06-26 09:00:00
96,Oslo,59.916958, 10.727128,2025-06-26 09:00:00
97,Tallin,59.446613, 24.734589,2025-06-26 09:00:00
98,Riga,56.948737, 24.096135,2025-06-26 09:00:00
99,Vilnius,54.693775, 25.262965,2025-06-26 09:00:00
100,Tirana,41.328274, 19.803082,2025-06-26 09:00:00
101,Las Palmas,28.146240, -15.477006,2025-06-26 09:00:00
102,Capetown,-33.850570, 18.361057,2025-06-26 09:00:00
103,Cape Agulhas,-34.828719, 20.002542,2025-06-26 09:00:00
104,Antananarivo,-18.903319, 47.487769,2025-06-26 09:00:00
105,Luanda,-8.786183, 13.165362,2025-06-26 09:00:00
106,Gaborone,-24.652652, 25.906923,2025-06-26 09:00:00
107,Saint Helena,-15.987508, -5.746086,2025-06-26 09:00:00
108,Maseru,-29.316488, 27.493672,2025-06-26 09:00:00
109,Moroni,-11.694591, 43.255062,2025-06-26 09:00:00
110,Maputo,-25.969286, 32.573175,2025-06-26 09:00:00
111,Windhoek,-22.567379, 17.087409,2025-06-26 09:00:00
112,Volchansky municipal district,60.000000, 60.000000,2025-06-26 09:00:00
113,Taldyapan rural district,50.000000, 50.000000,2025-06-26 09:00:00
114,Novokalitvenskoye rural settlement,50.000000, 40.000000,2025-06-26 09:00:00
115,Northeastern Province Kenya,0.000000, 40.000000,2025-06-26 09:00:00
116,Kikorongo Uganda,0.000000, 30.000000,2025-06-26 09:00:00
117,Atlantic Ocean,0.000000, 0.000000,2025-06-26 09:00:00
118,Estuariy Gabon,0.000000, 10.000000,2025-06-26 09:00:00
119,The English Channel,50.000000, 0.000000,2025-06-26 09:00:00
120,North Sea,55.000000, 0.000000,2025-06-26 09:00:00
